beer_id,abv,external_brewery_id,ibu,external_beer_id,name,ounces,style
40140a02-152f-4a1e-8b7a-0cf002ad5cd6,0.066,212,,1804,Mjöllnir,12,Herbed / Spiced Beer
091eeaca-7d70-4656-afb0-4cff5cb863ef,0.055,212,,1602,Bear Butte Nut Brown Ale,12,American Brown Ale
7612d3d9-f787-4dca-9acb-638e81c657bc,0.045,212,,1301,Easy Livin' Summer Ale,12,American Blonde Ale
b9c1cd93-2e2a-4fd2-b2b4-533a6769780a,0.055,212,,542,Canyon Cream Ale,12,Cream Ale
06e54dc9-d9e4-400f-9e12-bdeacf4e0234,0.069,212,,272,Pile O'Dirt Porter,12,American Porter
3cb0401a-c9ba-44d7-bc4a-32061046d2d5,0.06,212,,271,11th Hour IPA,12,American IPA
819fbf09-5bd9-4a57-9707-45441fc92bc2,0.06,472,31,1057,South Ridge Amber Ale,16,American Amber / Red Ale
998a763b-5760-4af7-aeb6-c108a1223832,0.052,472,23,681,Summertime Ale,16,Kölsch
7f2c557e-7fac-42fa-b8a4-eef655e04a5c,0.049,315,,1789,Lost River Blonde Ale,16,American Blonde Ale
2456e211-2c2e-4465-bd4c-c39cad020081,0.054,315,,1788,Monon Wheat,16,Witbier
4e523157-1fed-4a15-951b-98278f9ca85a,0.08,315,,1787,Floyd's Folly,16,Scottish Ale
6c9c9399-7091-4939-b46e-b1f1d0b67e1e,0.063,315,,1786,Half Court IPA,16,American IPA
1df01946-f4e5-4927-9619-4a2bb745d141,0.045,323,,1763,Geary's Pale Ale,12,English Pale Ale
d471eed0-3a7e-4c35-bba6-27fec4c6f2e3,0.06,323,,1311,Geary's Summer Ale,12,Kölsch
0308bc68-5f34-4c73-bc54-d6889112ff2d,0.08,227,,2078,Stone of Arbroath,12,Scotch Ale / Wee Heavy
bbdaf823-154f-49d8-9542-3de0e8ba34a7,0.05,227,15,1809,The Tradition,12,American Blonde Ale
9e110afe-67ac-4cdc-b145-1876964efca2,0.053,227,11,1263,El Hefe Speaks,12,Hefeweizen
739e711d-fdc2-447d-ae25-54f16128bbf1,0.055,227,,1092,Penn Quarter Porter,12,American Porter
6131e79a-f3cd-4779-8935-f20fa498f7b7,0.092,227,115,851,On the Wings of Armageddon,12,American Double / Imperial IPA
63f84f4c-916c-4daf-af39-cf1b78dff3df,0.065,227,80,186,The Corruption,12,American IPA
384af2c0-78fb-4583-ba4e-9ac64607bf8f,0.07,227,,185,The Citizen,12,Belgian Pale Ale
66039bc4-edc2-49a1-873b-ca20c4f6861d,0.06,227,,184,The Public,12,American Pale Ale (APA)
620fdaa5-756c-4fb7-a092-66562f448e92,0.065,451,,1224,Dank IPA,16,American IPA
2eec62cd-d2de-49a7-a74e-4cb3efe85a50,0.065,451,,964,Dank IPA (2012),16,American IPA
ad65c99f-10a9-4f5b-ad06-ac5876267a48,0.072,358,,1623,Lift Off IPA,16,American IPA
056c57d0-b92b-4331-96f6-39ef8903c1cc,0.055,554,,110,BrewFarm Select Golden Lager,12,American Pale Lager
e3ecb826-ba6b-4793-afd7-1b8780bf7605,0.05,333,,1735,Sprocket Blonde Ale (2006),12,American Blonde Ale
ad054342-38ad-4927-ad23-89c902b6b5a1,0.05,333,,1734,Sprocket Pale Ale (2006),12,American Pale Ale (APA)
d24061fe-e0c0-4c9d-ab7f-174134eb6ecf,0.07,94,,2221,Flyin' Rye,16,American IPA
accc369e-6493-4ed5-9b56-180eea1ebfff,0.063,330,37,1746,Dead Armadillo Amber Ale,12,American Amber / Red Ale
08f156b4-a3bd-45ea-9967-fa8a32dbdea4,0.06,127,,2371,Neato Bandito,12,Euro Pale Lager
ca1a4c15-ac4c-4aca-9e08-ce218689105b,0.075,127,33,2251,Oak Cliff Coffee Ale,12,American Brown Ale
1e6b9939-c43b-4292-8234-8ba4dde47582,0.085,127,100,2166,Dream Crusher Double IPA,12,American Double / Imperial IPA
43716606-c94f-42cd-a68c-af94cef6eb42,0.06,127,,1827,Deep Ellum Pale Ale,12,American Pale Ale (APA)
8811982d-965c-456c-a73e-2680c2172ace,0.07,127,,1203,Double Brown Stout,12,Baltic Porter
5b6721eb-3e6b-43b3-a646-5d64db0f54f1,0.048,127,25,1202,Farmhouse Wit,16,Saison / Farmhouse Ale
78dc13fa-3bf8-4bc4-a8f7-1ee6a743629e,0.046,127,,1161,Rye Pils Session Lager,12,German Pilsener
b9bfcfc0-9b25-471b-b686-0acc118ac4a1,0.052,127,23,946,Dallas Blonde,12,American Blonde Ale
c7b58b5a-cfeb-48e7-93ec-8c6778dbaf53,0.07,127,70,943,Deep Ellum IPA,12,American IPA
85c0d4d6-33ef-4001-9aa9-65c8ba64e89b,0.045,283,44,1886,Thrasher Session India Pale Ale,12,American IPA
3d2967f0-643f-49c6-8358-d0f2666824f5,0.05,283,16,1885,Gutch English Style Mild Ale,12,English Pale Mild Ale
c411b5e8-5acd-4727-ab4a-4b23a2bcd7d8,0.059,453,55,1213,Chuli Stout,12,Irish Dry Stout
cdd1af43-cdad-41d6-9928-1db2e16ff2f2,0.056,453,46,1159,Mother Ale,12,American Blonde Ale
a2109540-dfae-4a62-b7cd-daf4e605b4f0,0.065,453,71,947,Twister Creek India Pale Ale,12,American IPA
d1bedd51-6e18-416c-9d4e-b250c4a60d9a,0.058,453,46,929,Single Engine Red,12,Irish Red Ale
3dc74f09-a1a8-4a70-9d53-19b2c84825f1,0.07,263,,1944,Incredible Pedal IPA,12,American IPA
2f6847d6-f364-4cf1-974c-8e3e74f09a21,0.05,263,,1943,Graham Cracker Porter,12,American Porter
f5a5dd35-5a81-4050-941a-df72a508e48e,0.05,454,40,1210,Mirror Pond Pale Ale,12,American Pale Ale (APA)
0b8a38a8-ce1e-41e9-b030-5082bc17c85f,0.052,57,16,2550,Weissenheimer,12,Hefeweizen
db0c7dc9-99d2-4d9c-9e0b-5dff9b70e63c,0.049,57,22,2505,Abbey's Single (2015- ),12,Abbey Single Ale
83af2296-0255-4034-878b-79943e83b663,0.063,57,76,2025,Vertex IPA,12,American IPA
df567f42-7840-4386-b1eb-275d8ca5efdf,0.05,57,12,2021,Here Gose Nothin',12,Gose
6c6de76c-6fd8-4ae0-8ce7-4d3d47989c3e,0.05,57,,2015,Strawberry Blonde,12,Fruit / Vegetable Beer
f3b2a595-6450-4883-ab16-be825cd75403,0.096,57,85,1888,Hoperation Overload,12,American Double / Imperial IPA
49e04bbc-34ff-481a-ba01-0011ba331d7a,0.049,57,22,1887,Abbey's Single Ale (Current),12,Abbey Single Ale
bd277689-1b82-4e38-b1ff-8243ec03de16,0.044,237,45,2051,Bravo Four Point,12,American Pale Ale (APA)
8cc77ecd-cd9b-401a-882e-4dc5b8e9c597,0.052,237,26,1201,Striped Bass Pale Ale,12,American Pale Ale (APA)
24abbd43-4731-47e7-bea7-b3a7844341fc,0.054,491,27,924,Deadicated Amber,16,American Amber / Red Ale
dcd950fd-54fc-4364-8ec7-128c74e23c3b,,491,,731,Kaleidoscope Collaboration 2012,16,American Black Ale
13ff8c64-c3d1-48cb-b57a-e46399437cb4,0.071,491,85,730,California Sunshine Rye IPA,16,American IPA
dfba1c78-4dd2-4b9b-b151-e6d917d2044b,0.074,491,12,647,Full Boar Scotch Ale,16,Scotch Ale / Wee Heavy
495b55be-7816-4c0b-9ee6-110c5fde5577,0.045,319,,1773,12 Man Pale Ale,12,American Pale Ale (APA)
1678d08e-589d-4a9b-b11a-c80c7ec921e1,0.065,311,72,1795,Filthy Hoppin' IPA,16,American IPA
0afa8725-0e31-4d77-9310-afcb6f3f1792,,488,,944,Dock Street Amber Beer (1992),12,American Amber / Red Ale
37b771ef-ae88-4b02-bd97-4053455e21be,,531,,524,Dolores River Hefeweizen,16,Hefeweizen
41265bd1-eb6b-4bbe-b6bb-de88a4688a5f,,531,,450,Dolores River ESB,16,Extra Special / Strong Bitter (ESB)
e5b93506-235d-4222-8ca9-161d6969f963,,531,,449,Snaggletooth Double Pale Ale,16,American Double / Imperial IPA
6a3776e3-1636-4b7b-aaa3-739133468e39,,531,,448,Dolores River Pale Ale,16,American Pale Ale (APA)
eb116b94-d7f9-4761-b711-18f6893e7b94,,531,,447,Dolores River Dry Stout,16,Irish Dry Stout
1e5b4b06-5aec-4bfe-b117-6b94faa7c747,,531,,446,Dolores River Mild,16,English Dark Mild Ale
34ed33d9-fe0b-42d5-aff3-ffb8ffa421e5,0.049,446,,1246,Cranberry Blend,12,Cider
418ab646-77e3-404d-b6d6-585a15001206,0.051,446,,977,Orignal Blend,12,Cider
8b206f87-eacd-433f-a294-125388215087,0.066,496,100,881,Hop Abomination,12,American IPA
ad75f6d0-7d73-48c6-ad0a-98a13ffdf0ce,0.051,496,17,880,Apricot Blonde,12,Fruit / Vegetable Beer
5539f405-d54d-4232-840d-7eefe2e8e81e,0.043,496,12,872,Dry Dock Hefeweizen,12,Hefeweizen
3c0c21f0-3892-49fe-bcff-1ae9f71e9813,0.058,496,49,871,Dry Dock Amber Ale,12,American Amber / Red Ale
6eaa931a-3542-46a7-85f4-ea58efe75c9b,0.061,340,64,1685,Category 3 IPA,12,American IPA
3db5d68f-7e8a-4394-8b2c-d2c5ed5a1fb5,0.045,538,18,457,Dundee Summer Wheat Beer,12,American Pale Wheat Ale
1f67657b-4bf0-4e0e-ae97-fad447aa7bae,0.05,369,,1590,Pumpkin Patch Ale,16,Pumpkin Ale
