beer_id,abv,brewery_uuid,ibu,name,ounces,style
ee5cffd2-1cc5-4840-b978-34c97f31a761,0.053,b7db853a-e8aa-430f-84c8-d49b72184d01,36,Klickitat Pale Ale,12,American Pale Ale (APA)
37773f45-7c2c-469a-aa2d-ddd875eb552e,0.0819999999999999,b7db853a-e8aa-430f-84c8-d49b72184d01,103,Yellow Wolf Imperial IPA,12,American Double / Imperial IPA
725b883b-00c2-422f-a3b7-c4caf9a7b323,0.053,be30d928-4a14-45eb-a944-89b01b544080,40,Freeride APA,12,American Pale Ale (APA)
b35a7e32-4ccf-499c-8b5f-c0a61d29cd56,0.053,be30d928-4a14-45eb-a944-89b01b544080,18,Alaskan Amber,12,Altbier
bb090423-bc0c-4c03-888f-e1b4e6e5204c,0.057,c812aa3f-208b-49e2-a1e6-96cae8943605,,Hopalicious,12,American Pale Ale (APA)
687a44f1-9ebb-4c06-9228-2e460d86bf8b,0.059,274b3acf-4f2c-40f0-8ac7-29506f2e8f5c,,Liberty Ale,12,American IPA
f34b0020-e44d-46b7-a458-2409c3a057a2,0.065,274b3acf-4f2c-40f0-8ac7-29506f2e8f5c,,IPA,12,American IPA
f33814a9-7c91-468d-aa6a-9b9b10501d64,0.045,274b3acf-4f2c-40f0-8ac7-29506f2e8f5c,,Summer Wheat,12,American Pale Wheat Ale
0471b0d9-5441-432f-86c7-1cba4b52c126,0.049,274b3acf-4f2c-40f0-8ac7-29506f2e8f5c,,California Lager,12,American Amber / Red Lager
9202082a-acd5-4909-a4c5-daf6c59a6079,0.0559999999999999,274b3acf-4f2c-40f0-8ac7-29506f2e8f5c,,Brotherhood Steam,12,California Common / Steam Beer
dd4ab409-a2fe-479e-8acf-12639eeb6b4c,0.042,55bbdf14-e891-4572-9ed2-9c6bf25edda9,,Blood Orange Gose,12,Gose
1379128e-57fc-48d9-8442-c46e1cd70d7c,0.042,55bbdf14-e891-4572-9ed2-9c6bf25edda9,,Keebarlin' Pale Ale,12,American Pale Ale (APA)
80b61784-55cd-4de2-b467-663a1785b37c,0.048,55bbdf14-e891-4572-9ed2-9c6bf25edda9,,"the Kimmie, the Yink and the Holy Gose",12,Gose
101fed9a-e208-4cd6-a7da-1c99d4f9b52b,0.06,55bbdf14-e891-4572-9ed2-9c6bf25edda9,,Fall Hornin',12,Pumpkin Ale
b998cf0b-38bc-4594-af21-9b50cb84539e,0.057,55bbdf14-e891-4572-9ed2-9c6bf25edda9,13,Barney Flats Oatmeal Stout,12,Oatmeal Stout
7f12ddb8-90a2-4e96-868c-fcf72d0aa483,0.0559999999999999,55bbdf14-e891-4572-9ed2-9c6bf25edda9,4,Summer Solstice,12,Cream Ale
09643adf-6a91-46bf-aa24-ccecab831d5b,0.07,55bbdf14-e891-4572-9ed2-9c6bf25edda9,80,Hop Ottin' IPA,12,American IPA
6b0f7477-bdf4-4083-807e-9193292969b1,0.0579999999999999,55bbdf14-e891-4572-9ed2-9c6bf25edda9,15,Boont Amber Ale,12,American Amber / Red Ale
