abv,ibu,id,name,style,brewery_id,ounces,breweryUuid
0.068,,2207,Golden One,Belgian Pale Ale,193,12.0,325d44c0-53fb-4991-a694-659ac9f89fa9
0.06,,2040,Arjuna,Witbier,193,12.0,325d44c0-53fb-4991-a694-659ac9f89fa9
0.085,,2039,Uroboros,American Stout,193,12.0,325d44c0-53fb-4991-a694-659ac9f89fa9
0.06,55.0,413,Sky High Rye,American Pale Ale (APA),541,12.0,43aa2e45-0b2a-473f-8696-7b9f63040279
0.062,17.0,390,Whitsun,American Pale Wheat Ale,541,12.0,43aa2e45-0b2a-473f-8696-7b9f63040279
0.092,50.0,1333,Quakertown Stout,American Double / Imperial Stout,426,12.0,7e286282-9365-48c2-8bd2-1193bac62449
0.051,20.0,1332,Greenbelt Farmhouse Ale,Saison / Farmhouse Ale,426,12.0,7e286282-9365-48c2-8bd2-1193bac62449
0.07,45.0,1322,Green Bullet Organic India Pale Ale,American IPA,429,16.0,b014d168-6455-4325-9e1c-7b212daf49ef
0.032,27.0,550,Rocket Girl,Kölsch,528,12.0,d4b6dce4-8521-402d-a39b-0eef19bfcb7f
0.053,26.0,429,Ninja Porter,American Porter,528,12.0,d4b6dce4-8521-402d-a39b-0eef19bfcb7f
0.06,69.0,428,Shiva IPA,American IPA,528,12.0,d4b6dce4-8521-402d-a39b-0eef19bfcb7f
0.048,,1640,Aslan Kölsch,Kölsch,353,16.0,be30d928-4a14-45eb-a944-89b01b544080
0.077,,1639,Aslan IPA,American IPA,353,16.0,be30d928-4a14-45eb-a944-89b01b544080
0.077,,1638,Aslan Amber,American Amber / Red Ale,353,16.0,be30d928-4a14-45eb-a944-89b01b544080
0.0559999999999999,27.0,597,This Season's Blonde,American Blonde Ale,523,12.0,5b2501b2-d069-4e5f-8c6b-ef9f6ee408cd
0.07,67.0,596,Independence Pass Ale,American IPA,523,12.0,5b2501b2-d069-4e5f-8c6b-ef9f6ee408cd
0.057,40.0,1580,Trolley Stop Stout,American Stout,374,12.0,686e0f81-196a-4e76-9b73-2e3957c7b871
0.0819999999999999,138.0,980,Bitter Bitch Imperial IPA,American Double / Imperial IPA,374,12.0,686e0f81-196a-4e76-9b73-2e3957c7b871
0.062,35.0,979,Poop Deck Porter,American Porter,374,12.0,686e0f81-196a-4e76-9b73-2e3957c7b871
0.06,35.0,978,Old Red Beard Amber Ale,American Amber / Red Ale,374,12.0,686e0f81-196a-4e76-9b73-2e3957c7b871
0.075,115.0,2503,Hop A-Peel,American Double / Imperial IPA,72,16.0,efdc475f-8e3c-42f7-8e69-7d5fda684097
